model,portfolio,alpha_t_ols,alpha_t_hac,hac_to_ols_se_ratio,ljungbox_pvalue_lag12,mom_loading
FF3,SMALL LoBM,-3.3660032320663857,-4.754821158701479,0.7079137405423732,8.759530966949925e-23,
FF3,ME1 BM2,-3.242168447753179,-3.274710271360645,0.9900626861887404,1.4963912789986301e-06,
FF3,ME1 BM3,-1.3256416138471974,-1.993817257780672,0.6648761859563678,7.564387589348028e-10,
FF3,ME1 BM4,1.1447189650255671,1.2890013725997063,0.8880665213853535,1.4929597247358125e-07,
FF3,SMALL HiBM,1.9021150240751112,2.2582669791273817,0.8422897034123524,1.2647274395417863e-10,
FF3,ME2 BM1,-3.1200901190434593,-3.5604850042125586,0.8763104226957704,2.6138548197075076e-12,
FF3,ME2 BM2,0.38030928891592164,0.3759678352355014,1.0115474071809913,7.752844692373397e-10,
FF3,ME2 BM3,0.42634235876436927,0.46108854690433254,0.9246431333563954,0.002411495876506781,
FF3,ME2 BM4,0.6495634007945713,0.7205974645850689,0.9014233781249839,0.0006543663724679941,
FF3,ME2 BM5,0.48937537586496666,0.5670280186362818,0.8630532527156736,5.2519611539092825e-09,
FF3,ME3 BM1,-1.8998411821743635,-2.3530725576767035,0.8073874203225436,0.07476620106688538,
FF3,ME3 BM2,1.6631790866111518,1.6443549503436552,1.0114477329019276,0.6006053996811,
FF3,ME3 BM3,0.9624663806253414,0.9503773861266114,1.0127202042843215,0.15522651360086712,
FF3,ME3 BM4,0.5631162800692158,0.5843568358963869,0.9636513949655631,0.2335926964428623,
FF3,ME3 BM5,-0.8862886303991745,-1.0025629915385652,0.8840228872193333,0.005115324288744537,
FF3,ME4 BM1,0.8644863810222699,0.7743988506588569,1.1163322108326565,0.09620597592979897,
FF3,ME4 BM2,-0.21194740438895468,-0.1832228438782084,1.156773903857971,0.0037402376501704314,
FF3,ME4 BM3,-0.17503533294186355,-0.17899783649142623,0.9778628410977891,0.29286176694590244,
FF3,ME4 BM4,0.33222969833467747,0.36375826655933774,0.9133254935403173,0.014797940691061098,
FF3,ME4 BM5,-2.2811052878779385,-2.2965432594783683,0.9932777353369183,0.30505236913166794,
FF3,BIG LoBM,3.093597195488439,2.808135285499193,1.1016553267441673,0.4020894482497436,
FF3,ME5 BM2,-0.24465061120197695,-0.24720342181831673,0.9896732391584127,0.13747740085553262,
FF3,ME5 BM3,-0.5453865498825625,-0.41593793846854077,1.3112209765972394,0.012165834285252456,
FF3,ME5 BM4,-4.5723548676236785,-3.8418870654649346,1.1901325545784478,1.5754918117995538e-05,
FF3,BIG HiBM,-1.5769839697895882,-1.391655826009378,1.13317096103542,7.318590278869407e-05,
Carhart,SMALL LoBM,-2.555842862558816,-3.6441472896354092,0.7013555324253988,1.0457698139840764e-23,-0.16463271866914347
Carhart,ME1 BM2,-3.092826097890148,-3.4254825227455212,0.9028877179648404,1.3863272768775602e-06,-0.008956534714269137
Carhart,ME1 BM3,0.09788661168123021,0.12935323777302865,0.7567387826270592,3.0434334888873735e-08,-0.13218635308597426
Carhart,ME1 BM4,1.3324665161005333,1.697411624476958,0.7849990520190534,1.7610561113859134e-07,-0.015277641283207143
Carhart,SMALL HiBM,2.3701519085051532,2.8439192070738306,0.8334104227046075,4.3482129633733504e-10,-0.04022275988547193
Carhart,ME2 BM1,-2.7350869161423557,-3.167914074158838,0.8633715599968068,2.559194837984424e-12,-0.023891530837070594
Carhart,ME2 BM2,1.081419944253247,1.0898991614453752,0.9922201819286809,8.722262075097717e-10,-0.04366757032900683
Carhart,ME2 BM3,0.5577500974476999,0.6623919394770565,0.842024282312419,0.0019021072821851755,-0.00848309159659458
Carhart,ME2 BM4,0.6491021078196803,0.7197233007363382,0.901877300839911,0.0006611496510974768,-0.0008261824620833037
Carhart,ME2 BM5,0.8076765919549634,0.8416733579532745,0.9596081238914558,1.2400537009112841e-08,-0.02016324616245946
Carhart,ME3 BM1,-1.0061279450011662,-1.26540924211163,0.7951008349853739,0.0750935206924132,-0.05462811074912137
Carhart,ME3 BM2,1.4567806899270825,1.5781071810352925,0.9231189791376427,0.6406496223115141,0.009181186147816992
Carhart,ME3 BM3,1.0098439641829753,1.089977458856934,0.9264815120507215,0.1580690011860682,-0.004030946754582292
Carhart,ME3 BM4,0.83667416953991,0.9052841204267761,0.9242116929494781,0.2243072563069646,-0.016426321973747385
Carhart,ME3 BM5,-0.15511736625304307,-0.17264658897358823,0.8984675988980774,0.009792702894595554,-0.05299913208227729
Carhart,ME4 BM1,0.6350528981746832,0.6133846132239218,1.035325771927786,0.09436424769157996,0.011031529640448023
Carhart,ME4 BM2,0.06016368305887805,0.05937830668203176,1.0132266549979598,0.005817308210270643,-0.014583396159279937
Carhart,ME4 BM3,0.05120936728732648,0.05325411315110406,0.9616039824383935,0.31587936519506665,-0.013120550633431856
Carhart,ME4 BM4,1.3994068371060842,1.5306398472716936,0.9142626461740643,0.004152280250938515,-0.06820270497131363
Carhart,ME4 BM5,-1.2562219600899796,-1.2875210500823702,0.9756904246416878,0.3489869464914318,-0.08100091894759154
Carhart,BIG LoBM,3.4906609964628146,3.433316509837255,1.016702359500283,0.47410847710500903,-0.016922039565236777
Carhart,ME5 BM2,0.17269752906288163,0.18606453810520565,0.9281592872105162,0.12881724751835222,-0.018693082094682838
Carhart,ME5 BM3,-0.10677899929481574,-0.08972008370552752,1.1901348603873096,0.017522666545879275,-0.023632673437061043
Carhart,ME5 BM4,-3.9231687336461727,-3.516530144884566,1.1156363153471431,4.01022255880048e-06,-0.031836109872152615
Carhart,BIG HiBM,-0.3590184002090614,-0.33877360689089214,1.059759063003658,0.00031777483352704117,-0.13106350124810517
