model,date,mean_alpha,mean_abs_alpha,std_alpha,frac_sig_5pct,mean_t_alpha,se_mean_alpha,ci_low,ci_high
Carhart,1931-12-01,-0.00013938429602152844,0.005313222380691341,0.007709843806337811,0.16,0.03333899053976446,0.0015419687612675621,-0.00316164306810595,0.0028828744760628936
Carhart,1932-01-01,-0.00026461925736324205,0.004873881067020024,0.007176171930800446,0.08,0.05304558722531982,0.0014352343861600892,-0.003077678654237017,0.002548440139510533
Carhart,1932-02-01,-0.0008072749802997417,0.005093921434232569,0.007717524240992592,0.08,-0.06393960728088914,0.0015435048481985184,-0.0038325444827688377,0.0022179945221693542
Carhart,1932-03-01,-0.0007523227987150751,0.005382777380916375,0.00829186266035328,0.08,-0.05002452121916665,0.001658372532070656,-0.0040027329615735605,0.0024980873641434103
Carhart,1932-04-01,-0.0008565814715322108,0.005501402799346164,0.008551398390386017,0.04,-0.05789990093865052,0.0017102796780772034,-0.004208729640563529,0.002495566697499108
Carhart,1932-05-01,-0.0007391977010326878,0.005730698453549305,0.00891881814930854,0.04,-0.05191719336103242,0.001783763629861708,-0.0042353744155616355,0.0027569790134962598
Carhart,1932-06-01,-0.0007903348039886169,0.006215162889104642,0.009245443894606433,0.12,-0.05505740554997919,0.0018490887789212867,-0.004414548810674338,0.002833879202697105
Carhart,1932-07-01,-0.0004525518248207443,0.005456876656677472,0.008190012527623079,0.12,-0.011353647255647132,0.0016380025055246158,-0.003663036735648991,0.002757933086007503
Carhart,1932-08-01,-0.0008537428867407901,0.005618837101621644,0.00807880291277666,0.12,0.015665248400125682,0.0016157605825553318,-0.0040206336285492405,0.0023131478550676605
Carhart,1932-09-01,-0.0008788446099822577,0.00583061077685822,0.008510037618636005,0.12,-0.014356711532469282,0.001702007523727201,-0.004214779356487572,0.0024570901365230566
Carhart,1932-10-01,-0.0008990221386089788,0.005649491957876813,0.007812823613762222,0.16,-0.08263315496530353,0.0015625647227524443,-0.00396164899520377,0.0021636047179858123
Carhart,1932-11-01,-0.001171286583508146,0.005531390013423867,0.007635409689810101,0.16,-0.05689914119903621,0.0015270819379620201,-0.004164367181913705,0.0018217940148974134
Carhart,1932-12-01,-0.0014447152988786975,0.006102020013879785,0.008285893585732491,0.2,-0.10895419824751926,0.0016571787171464983,-0.004692785584485834,0.001803354986728439
Carhart,1933-01-01,-0.001083159160030812,0.005736449801324171,0.007993164555939956,0.2,-0.08492443149558397,0.0015986329111879912,-0.004216479665959274,0.002050161345897651
Carhart,1933-02-01,-0.0012928692476782933,0.006054645647344771,0.008243133659244919,0.2,-0.09167575683719843,0.0016486267318489838,-0.004524177642102302,0.0019384391467457149
Carhart,1933-03-01,-0.001482148531834494,0.006157936008175582,0.008455163007505847,0.2,-0.052043927100599054,0.0016910326015011693,-0.004796572430776786,0.0018322753671077977
