model,portfolio,alpha,period
FF3,SMALL LoBM,-0.007638336831801772,pre_2009
FF3,ME1 BM2,-0.004759749447821407,pre_2009
FF3,ME1 BM3,-0.001455661953736575,pre_2009
FF3,ME1 BM4,0.0009027692688680721,pre_2009
FF3,SMALL HiBM,0.0007155686570311316,pre_2009
FF3,ME2 BM1,-0.0025168080143526555,pre_2009
FF3,ME2 BM2,-6.268528818163664e-05,pre_2009
FF3,ME2 BM3,0.0002401634691016912,pre_2009
FF3,ME2 BM4,0.0004688630638207915,pre_2009
FF3,ME2 BM5,0.0003289563606700827,pre_2009
FF3,ME3 BM1,-0.001010365458525356,pre_2009
FF3,ME3 BM2,0.0010081901831033577,pre_2009
FF3,ME3 BM3,0.0008644134229828517,pre_2009
FF3,ME3 BM4,0.0003245246424226331,pre_2009
FF3,ME3 BM5,-0.00043306438797154306,pre_2009
FF3,ME4 BM1,0.0007034155023722458,pre_2009
FF3,ME4 BM2,-8.548223324964214e-05,pre_2009
FF3,ME4 BM3,-2.2712539493425254e-05,pre_2009
FF3,ME4 BM4,0.00010306289155581988,pre_2009
FF3,ME4 BM5,-0.0018416566921555695,pre_2009
FF3,BIG LoBM,0.000839327125169998,pre_2009
FF3,ME5 BM2,-1.924213125717106e-05,pre_2009
FF3,ME5 BM3,-0.00013754919739793146,pre_2009
FF3,ME5 BM4,-0.0025055637319760763,pre_2009
FF3,BIG HiBM,-0.0018877786312340666,pre_2009
Carhart,SMALL LoBM,-0.005594227378812829,pre_2009
Carhart,ME1 BM2,-0.004633071638192855,pre_2009
Carhart,ME1 BM3,0.0002694669465102826,pre_2009
Carhart,ME1 BM4,0.0011258956622945445,pre_2009
Carhart,SMALL HiBM,0.0014100992018038624,pre_2009
Carhart,ME2 BM1,-0.0022225714972482257,pre_2009
Carhart,ME2 BM2,0.0003757149321973797,pre_2009
Carhart,ME2 BM3,0.00032230769244103585,pre_2009
Carhart,ME2 BM4,0.0005332004966378597,pre_2009
Carhart,ME2 BM5,0.0006557045527226594,pre_2009
Carhart,ME3 BM1,-0.0002925703802239676,pre_2009
Carhart,ME3 BM2,0.0007808441592107097,pre_2009
Carhart,ME3 BM3,0.0008933853791095025,pre_2009
Carhart,ME3 BM4,0.0005236500588399899,pre_2009
Carhart,ME3 BM5,0.00029418998630450805,pre_2009
Carhart,ME4 BM1,0.0005986446365621711,pre_2009
Carhart,ME4 BM2,8.729641468717894e-05,pre_2009
Carhart,ME4 BM3,0.00010679610869167243,pre_2009
Carhart,ME4 BM4,0.0007965309013401854,pre_2009
Carhart,ME4 BM5,-0.000863609186978055,pre_2009
Carhart,BIG LoBM,0.001054797241594717,pre_2009
Carhart,ME5 BM2,0.0003097432675519919,pre_2009
