,gamma
0,0.018492739824361087
1,0.04361383203572625
2,-0.05693114670636166
3,-0.014689764666268843
4,-0.04910892175806792
5,-0.029337089233092167
6,0.060021512570348066
7,0.08253879322106668
8,-0.04959897976799482
9,-0.09906635994141001
10,-0.008428752831689465
11,0.07906612573703538
12,0.05927188998569585
13,0.0018754771856427724
14,0.02662621977893392
15,0.027444229670833247
16,0.07380854889164197
17,0.05539785702924832
18,-0.0017024254635882884
19,0.05116152990532675
20,0.016317492575775163
21,-0.06514683246732426
22,0.029641318999080454
23,0.0031173102779785047
24,0.01679037742982559
25,0.017693982438250242
26,0.012415002030755745
27,0.01044018455048482
28,-0.0007444371747767084
29,0.0214430283527747
30,-0.004429403875405036
31,-0.00691070145410341
32,0.008595493024903754
33,-0.0023454573301835892
34,0.006105148389842999
35,0.014991699801827565
36,-0.008247953234483352
37,0.0039700501407218805
38,-0.014006942370549108
39,-0.008274648589042281
40,0.012323290946572646
41,0.025344837634796193
42,-0.004911444345956887
43,0.06144730532028523
44,-0.0032916006684063654
45,0.012632462793598857
46,-0.022590708103620058
47,0.03495430447230269
48,0.013327638096133779
49,-0.007305214347032785
50,-0.03524098913252695
51,0.04871949402325666
52,0.022640178281499754
53,0.00041467472935756053
54,0.009762794246849265
55,0.0409586699504823
56,0.007864348135610178
57,0.019288370852912937
58,-0.021295872350895452
59,0.013608261914042644
60,0.023891234650190666
61,0.001256270139819504
62,-0.010949843934253784
63,-0.0006921279623461707
64,0.0018563541315386334
65,-0.012666319895458569
66,-0.0014691576586292675
67,0.00472003976287797
68,0.0024051453614405477
69,0.0056107355905333665
70,-0.0007860183706690073
71,0.009708847903365844
72,-0.00929334501606628
73,-0.013441217760747077
74,0.0404063692339463
75,-0.006220755237420517
76,0.023341861005833582
77,0.013860185638888214
78,-0.017980734820575474
79,0.04199467251756659
80,0.017156403588422017
81,-0.023432863013546256
82,0.0009655035450192945
83,-0.09033725031905128
84,0.05839248063305186
85,-0.01793584386365942
86,-0.020065595338014726
87,-0.009699940461782677
88,0.057548258853927656
89,-0.03701308943115485
90,-0.05156850411668931
91,-0.027958641851725374
92,0.023078980730327374
93,0.07223583180594276
94,-0.09355856683673042
95,-0.006117903146932742
96,0.07076930084023685
97,-0.08786100694436218
98,-0.34120068561245764
99,-0.14807318196978275
100,0.018402824827054198
101,-0.014591781544131403
102,-0.05818224537997426
103,-0.00644451870721822
104,0.009240270699455252
105,0.026111385658239995
106,0.010275930144101636
107,-0.01392364933359732
108,0.0235014839556888
109,0.015347295636443247
110,0.007344597086429921
111,-0.016216830094191517
112,-0.014065839195991593
113,0.02447203565380531
114,0.004972692567322324
115,0.018552226168522187
116,0.00599808148175124
117,0.054193847121414514
118,-0.009918233484038556
119,-0.04636059651419984
120,0.004558160760521218
121,0.028660800756464124
122,0.04684647040060281
123,-0.0009185494501721525
124,0.001621868425005946
125,0.003990971207986332
126,-0.009252911424255694
127,-0.03982793842403603
128,0.0022908279590419245
129,-0.020540237812533904
130,0.03947304026102764
131,-0.16024373760530808
132,0.003300952968342888
133,-0.006705884367931172
134,0.03051610929196208
135,0.10552799738544974
136,0.018801908904217998
137,0.008506814142444757
138,-0.0015529413505481222
139,-0.009534732329603588
140,-0.0001136968544810621
141,0.02521298880348636
142,-0.01913505605157477
143,0.008785724520011187
144,0.02238225660436512
145,0.03645108064346118
146,-0.023163416230753346
147,-0.0039222411450163365
148,-0.011193835328612131
149,0.07404421347789145
150,-0.012506058355070014
151,0.05685101971537487
152,0.036918599173378724
153,0.03311638299685362
154,0.006460581958568448
155,-0.03512015940833046
156,0.027709082857765393
157,-0.025607865024003633
158,-0.035465862432038496
159,-0.016070397020591515
160,0.012325964295590552
161,-0.03443720961349883
162,0.03611404192271773
163,0.005048390305951846
164,0.05487595062974865
165,0.0782090071038776
166,0.01406969369970483
167,0.011870675076163968
168,-0.032236268880659454
169,0.024823633544322803
170,-0.034850510399635756
171,0.06931832234918262
172,0.03804858114644549
173,0.030900914076888036
174,-0.031572915707479235
175,0.06163281129148677
176,0.006044362344159623
177,0.007259892218992543
178,0.05966013191193742
179,-0.006033018772550411
180,0.0003594485688462084
181,-0.043685558076710075
182,0.005707131011589288
183,0.016657777581570683
184,0.06414604528526291
185,-0.046226080276767
186,0.00013843130537091153
187,-1.1773547843929897e-05
188,0.023726752021220952
189,0.001387684458593186
190,0.021881125572900412
191,0.023136362511052985
192,-0.009945011080194398
193,-0.016333845069796075
194,0.0021257140386853196
195,0.02033178700702641
196,-0.01851182528075166
197,0.008636876662061964
198,0.019740037411347704
199,0.021987503870770215
200,0.02893764342638575
201,-0.02029568376198283
202,0.010028925230386192
203,0.04715805954758911
204,0.005029353852226283
205,0.011689030484996218
206,-0.01263073066064435
207,0.01546338874428678
208,-0.014243313550656257
209,0.014358012500797853
210,0.02210997337555129
211,-0.011921390861061861
212,-0.017734755247752646
213,-0.007717964817236577
214,0.006606045129709149
215,-0.012082391325140971
216,-0.005598195251956486
217,0.003913606157187334
218,-0.012415929241470114
219,0.04115894969904153
220,0.02475379088261617
221,0.02470835017603176
222,0.030021411722104804
223,-0.02403797111555215
224,-0.018543866910870455
225,-0.005008093907757395
226,0.022983767896878646
227,0.03601173636331249
228,-0.004389003572509618
229,0.05223574809700208
230,-0.018971139691755238
231,-0.0016625788312348098
232,-0.004152419571846254
233,0.02805242783329596
234,0.02383150962567991
235,0.007338346905204036
236,-0.008762884949735856
237,-0.029354589883653304
238,0.00431818907927017
239,0.02404329113277725
240,-0.0030129843697205335
241,-0.011192139439784997
242,-0.0005241749539051019
243,-0.0014717362636558512
244,-0.0031691703602395056
245,-0.007521915800530891
246,0.005279522381224969
247,-0.008029008326250755
248,0.012112996925920947
249,0.007725265876717293
250,0.012756098248636827
251,-0.0055465905482333325
252,0.02377372603228683
253,0.02514949213103216
254,0.1211281990218886
255,0.09047347723975364
256,0.011317378960258858
257,0.016054643876790897
258,-0.01592321196073857
259,0.012378971681772934
260,0.09347970036852184
261,0.027103532529466564
262,0.06115893475300659
263,-0.132439906518642
264,0.06512760685629006
265,0.03089124433382794
266,0.019068356778308003
267,-0.034308975201644575
268,0.046827034237697976
269,0.0035216844097928964
270,0.059135556224771756
271,0.02449408579843325
272,0.04656115008973399
273,-0.02776376507369986
274,-0.04589835222400562
275,0.059671386125253065
276,-0.003474369396864166
277,0.037392304061998
278,-0.024701133233286505
279,0.0014037899529692939
280,0.001928573615571124
281,-0.002038420148485571
282,0.056449266263703654
283,0.022733938485080596
284,-0.014984449796871838
285,0.035864406157165137
286,-0.02615895618717321
287,0.016615284867938975
288,-0.005455987350349754
289,0.0008450019202591208
290,-0.008052926243405811
291,0.000989581362864819
292,0.017477471203868368
293,-0.019717433050260337
294,-0.004915145145816315
295,0.009553613885010324
296,-0.007696251656520066
297,-0.012093093905789455
298,0.0018838763023259952
299,0.026339616271393102
300,0.01607988812693027
